Name,Year,FIP,pit_IP
郭俊麟,2024,3.734,20
郭俊麟,2025,6.273,10
陳韻文,2024,3.427,39
陳韻文,2025,3.48,46
劉予承,2024,4.59,28
劉予承,2025,6.045,19
邱浩鈞,2024,3.473,48
邱浩鈞,2025,3.957,9
王鏡銘,2024,4.897,20
王鏡銘,2025,2.615,40
胡智爲,2024,3.988,8
胡智爲,2025,3.916,34
辛俊昇,2024,3.247,33
辛俊昇,2025,3.453,25
吳承諭,2024,3.847,20
吳承諭,2025,3.597,32
蒙德茲,2025,3.437,22
髙塩將樹,2024,3.201,20
髙塩將樹,2025,2.388,51
飛力獅,2025,2.809,21
鍾允華,2025,3.637,25
獅帝芬,2025,2.381,4
李軍,2025,4.432,24
艾速特,2024,2.658,20
艾速特,2025,2.856,25
韋宏亮,2025,5.024,14
櫻井周斗,2025,5.043,4
江承諺,2024,3.915,20
江承諺,2025,3.67,21
艾速特,2024,2.658,20
艾速特,2025,2.856,25
王躍霖,2024,3.247,32
王躍霖,2025,3.303,16
許育銘,2024,4.424,29
許育銘,2025,3.416,47
黃紹睿,2024,2.58,3
黃紹睿,2025,3.66,23
韋宏亮,2025,5.024,14
張誠恩,2025,4.072,41
黃群,2024,4.11,52
黃群,2025,3.677,25
陳柏清,2024,4.394,19
陳柏清,2025,3.971,42
林詩翔,2024,4.247,30
林詩翔,2025,3.014,60
郭俞延,2024,4.539,5
張誠恩,2025,4.072,41
李博登,2025,2.673,14
伍立辰,2025,4.3,23
韋禮加,2025,2.221,3
德保拉,2024,3.113,20
德保拉,2025,2.386,9
呂彥青,2024,3.173,54
呂彥青,2025,3.379,42
吳俊偉,2024,3.247,57
吳俊偉,2025,3.44,22
蔡齊哲,2024,4.394,45
蔡齊哲,2025,3.842,54
李振昌,2024,3.482,42
李振昌,2025,4.022,41
鄭凱文,2024,3.354,9
鄭凱文,2025,4.451,22
魏碩成,2024,4.447,24
魏碩成,2025,3.577,11
林暉盛,2024,7.129,4
林暉盛,2025,3.588,4
江忠城,2025,3.228,20
羅戈,2024,2.669,26
羅戈,2025,2.159,25
鄭浩均,2025,2.997,11
李博登,2025,2.673,14
盧孟揚,2024,4.79,5
盧孟揚,2025,6.127,9
伍立辰,2025,4.3,23
威能帝,2024,2.983,25
威能帝,2025,2.08,26
魔神樂,2024,3.354,24
魔神樂,2025,2.934,25
黃子鵬,2024,3.667,18
黃子鵬,2025,3.517,25
陳冠宇,2024,2.691,54
陳冠宇,2025,2.679,55
陳柏豪,2024,4.272,52
陳柏豪,2025,4.629,45
蘇俊璋,2024,3.554,47
蘇俊璋,2025,4.268,43
莊昕諺,2024,3.833,50
莊昕諺,2025,4.583,46
王志煊,2024,3.838,58
王志煊,2025,4.389,41
賴胤豪,2024,5.497,4
賴胤豪,2025,3.675,42
朱承洋,2025,1.468,51
邱駿威,2024,5.497,11
邱駿威,2025,4.968,27
林子崴,2025,3.091,8
陳克羿,2024,4.693,11
陳克羿,2025,3.293,9
徐若熙,2024,2.286,20
徐若熙,2025,2.05,19
鋼龍,2024,4.2,21
鋼龍,2025,2.874,24
陳冠偉,2024,1.943,58
陳冠偉,2025,3.698,49
林凱威,2024,3.98,47
林凱威,2025,3.664,35
林子昱,2024,3.607,17
林子昱,2025,3.857,53
郭郁政,2024,4.048,17
郭郁政,2025,4.143,29
陳禹勳,2024,4.76,41
陳禹勳,2025,4.218,38
曹祐齊,2024,3.037,6
曹祐齊,2025,3.88,14
張景淯,2024,7.747,18
張景淯,2025,5.997,5
呂偉晟,2024,5.047,3
呂偉晟,2025,5.087,27
李致霖,2025,1.497,2
趙璟榮,2024,8.647,5
趙璟榮,2025,4.016,19
陳志杰,2025,1.997,2
張鈞守,2025,3.134,8
黃暐傑,2025,3.997,8
林鋅杰,2024,6.247,1
林鋅杰,2025,3.185,12
朱承洋,2025,1.468,51
凱樂,2025,3.063,3
李致霖,2025,1.497,2
陳志杰,2025,1.997,2
張鈞守,2025,3.134,8
黃暐傑,2025,3.997,8
林鋅杰,2024,6.247,1
林鋅杰,2025,3.185,12
魔力藍,2025,3.019,23
力亞士,2025,3.067,24
林栚呈,2024,4.247,1
林栚呈,2025,2.997,45
曾峻岳,2024,1.81,47
曾峻岳,2025,2.97,34
王尉永,2024,3.418,40
王尉永,2025,2.81,12
江國豪,2024,4.367,30
江國豪,2025,4.497,10
黃保羅,2024,4.164,16
黃保羅,2025,4.242,18
廖任磊,2024,8.175,5
廖任磊,2025,4.82,28
范柏絜,2024,8.747,1
范柏絜,2025,7.647,6
李吳永勤,2024,5.156,4
李吳永勤,2025,2.808,56
游霆崴,2024,5.921,3
游霆崴,2025,3.768,19
